pct,avoid_cm,mean,std
0,0,7.17974e+14,4.1117e+12
0,5,7.19082e+14,4.7122e+12
0,10,7.17179e+14,5.19702e+12
0,15,7.18915e+14,5.55556e+12
0,20,7.14987e+14,4.90311e+12
25,0,7.33326e+14,5.53499e+12
25,5,6.93282e+14,2.68369e+12
25,10,7.1231e+14,2.5228e+12
25,15,7.38346e+14,3.67751e+12
25,20,7.5379e+14,4.04415e+12
50,0,7.48023e+14,3.02378e+12
50,5,7.42642e+14,3.47032e+12
50,10,7.93893e+14,2.03085e+12
50,15,8.48285e+14,2.66193e+12
50,20,8.90059e+14,2.28475e+12
75,0,7.65259e+14,2.03515e+12
75,5,7.98157e+14,3.31153e+12
75,10,8.79381e+14,3.47964e+12
75,15,9.58004e+14,3.41665e+12
75,20,1.02702e+15,4.39681e+12
100,0,7.83994e+14,4.25632e+12
100,5,8.51713e+14,1.82623e+12
100,10,9.60481e+14,2.6574e+12
100,15,1.07051e+15,3.31569e+12
100,20,1.16508e+15,5.26374e+12
