mode,pct,avoid_cm,mean,std
MixPrecision,0,0,7.18468e+14,4.67108e+12
MixFeedback,0,0,7.18468e+14,4.67108e+12
MixFeedbackAvoidCenter,0,15,7.18468e+14,4.67108e+12
MixFeedbackAvoidCenterGrid,0,0,7.17271e+14,4.79348e+12
MixFeedbackAvoidCenterGrid,0,5,7.15971e+14,4.30445e+12
MixFeedbackAvoidCenterGrid,0,10,7.17214e+14,4.62628e+12
MixFeedbackAvoidCenterGrid,0,15,7.19232e+14,2.99933e+12
MixFeedbackAvoidCenterGrid,0,20,7.15242e+14,3.23291e+12
MixPrecision,25,0,1.14039e+15,3.25409e+12
MixFeedback,25,0,6.50718e+14,2.13196e+11
MixFeedbackAvoidCenter,25,15,6.73888e+14,7.34794e+11
MixFeedbackAvoidCenterGrid,25,0,6.50631e+14,3.60846e+11
MixFeedbackAvoidCenterGrid,25,5,6.5115e+14,3.91819e+11
MixFeedbackAvoidCenterGrid,25,10,6.53051e+14,2.8027e+11
MixFeedbackAvoidCenterGrid,25,15,6.73598e+14,1.0837e+12
MixFeedbackAvoidCenterGrid,25,20,7.1724e+14,2.0212e+12
MixPrecision,50,0,1.56383e+15,5.29822e+12
MixFeedback,50,0,6.41838e+14,1.69895e+11
MixFeedbackAvoidCenter,50,15,7.1646e+14,1.264e+12
MixFeedbackAvoidCenterGrid,50,0,6.41845e+14,3.63708e+11
MixFeedbackAvoidCenterGrid,50,5,6.42674e+14,2.44217e+11
MixFeedbackAvoidCenterGrid,50,10,6.54274e+14,2.82631e+11
MixFeedbackAvoidCenterGrid,50,15,7.168e+14,1.81359e+12
MixFeedbackAvoidCenterGrid,50,20,8.24575e+14,1.55993e+12
MixPrecision,75,0,1.98913e+15,4.23697e+12
MixFeedback,75,0,6.35731e+14,2.47689e+11
MixFeedbackAvoidCenter,75,15,7.61344e+14,1.07642e+12
MixFeedbackAvoidCenterGrid,75,0,6.35815e+14,2.24401e+11
MixFeedbackAvoidCenterGrid,75,5,6.36379e+14,1.94217e+11
MixFeedbackAvoidCenterGrid,75,10,6.59479e+14,1.17412e+11
MixFeedbackAvoidCenterGrid,75,15,7.61513e+14,1.59284e+12
MixFeedbackAvoidCenterGrid,75,20,9.32917e+14,1.7973e+12
MixPrecision,100,0,2.40979e+15,7.03409e+11
MixFeedback,100,0,6.30928e+14,7.57729e+10
MixFeedbackAvoidCenter,100,15,8.07597e+14,2.21503e+11
MixFeedbackAvoidCenterGrid,100,0,6.309e+14,9.18823e+10
MixFeedbackAvoidCenterGrid,100,5,6.31409e+14,9.17626e+10
MixFeedbackAvoidCenterGrid,100,10,6.66833e+14,6.20858e+10
MixFeedbackAvoidCenterGrid,100,15,8.07731e+14,3.31463e+11
MixFeedbackAvoidCenterGrid,100,20,1.04057e+15,3.31858e+11
